Model,Accuracy,Precision,Recall,F1
logistic_regression,0.9648704498489906,0.9292452830188679,0.9002284843869002,0.9145067698259187
svm,0.9748847560006358,0.9249448123620309,0.9573495811119573,0.9408682634730539
random_forest,0.9793355587347004,0.9653815892997639,0.9345011424219345,0.9496904024767802
xgboost,0.9748847560006358,0.929368029739777,0.952018278750952,0.9405568096313017
ffnn,0.8774439675727229,0.7381370826010545,0.6397562833206397,0.6854345165238678
